Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
"Gadfly, The","Voynich, Ethel",Fiction,Elihu Vedder,San Gimignano,"Cabal, Alex",2017-03-26,2017-03-26,A clergyman turned revolutionary challenges both God and empire in the politically turbulent times of mid 19th-century Italy.
"Hairy Ape, The","O’Neill, Eugene",Drama,Josef Presser,The Harbor,"Keith, B. Timothy",2020-06-12,2020-06-12,An expressionist play following a brutish stoker’s dehumanization as he descends from being a leader of his fellow workers to a literal ape.
Practical Mysticism,"Underhill, Evelyn",Spirituality,Raffaello Sanzio,The Transfiguration,"McCurdy, Steven",2019-10-30,2019-10-30,Evelyn Underhill makes the case that mysticism is accessible and beneficial to everyone.
Khaled,"Crawford, Marion F.",Fantasy,Charles Bargue,A Bashi-Bazouk,"Cabal, Alex",2017-02-28,2017-02-28,"A powerful genie is condemned to live the life of a man, unless he can find true love."
"Beautiful and Damned, The","Fitzgerald, F. Scott",Fiction,J. C. Leyendecker,The Dancing Couple,"Cabal, Alex",2021-02-04,2021-02-04,The marriage between a down-and-out aesthete and a self-indulgent flapper begins to crumble against the backdrop of World War I and America’s Jazz Age.
"Great Gatsby, The","Fitzgerald, F. Scott",Fiction,Francis Cugat,Celestial Eyes,"Cabal, Alex",2021-01-01,2021-01-01,The decadent and mysterious Jay Gatsby pursues the American Dream in Jazz Age New York.
This Side of Paradise,"Fitzgerald, F. Scott",Fiction,Robert Henri,F. Ambrose Clark,"Nicholson, Steve",2017-12-22,2017-12-22,A young man comes of age during America’s Jazz Age.
"Mystery of a Hansom Cab, The","Hume, Fergus",Mystery,Childe Hassam,Fifth Avenue Nocturne,"Grigg, David",2019-02-18,2019-02-18,"A man is found dead in a hansom cab in the city of Melbourne, Australia, and a young man is accused of his murder."
No More Parades,"Ford, Ford Madox",Fiction,Richard Jack,The Second Battle of Ypres,"Cabal, Alex",2021-01-01,2021-01-01,"An English gentleman gives his best as an officer during World War I, while struggling with his scandalous wife, the incompetence of the army, and the brutality of war."
Some Do Not …,"Ford, Ford Madox",Fiction,Anonymous,"Hold the Line, for We Are Coming!","Cabal, Alex",2020-10-27,2020-10-27,"As World War I looms, a stiff English statistician and a suffragette fall in love."
"Good Soldier, The","Ford, Ford Madox",Fiction,William Glackens,At Mouquin’s,"Whittleton, Robin",2018-11-21,2018-11-21,The friendship between two well-heeled couples is a veneer over darker truths.
Iola Leroy,"Harper, Frances Ellen Watkins",Fiction,Edward Mitchell Bannister,Portrait of Christiana Carteaux Bannister,"Peterson, Zoey Leigh",2021-02-23,2021-02-23,"As the Civil War rages, a young woman living the North is unaware of her African ancestry until she returns to the South and is immediately enslaved."
Little Lord Fauntleroy,"Burnett, Frances Hodgson",Fiction,Thomas Gainsborough,The Blue Boy,"Sweeney, Emma",2019-11-03,2019-11-03,"A poor young boy unexpectedly inherits a peerage and travels to England to live with his grandfather, an Earl."
"Secret Garden, The","Burnett, Frances Hodgson",Fiction,Vincent Van Gogh,Daubigny’s Garden,"Cabal, Alex",2016-09-28,2016-09-28,"A young girl is moved to the English countryside where she starts restoring a neglected garden, and uncovers secrets in the process."
"Pablo de Segovia, the Spanish Sharper","de Quevedo, Francisco",Fiction,Diego Velázquez,Portrait of a Man,"Cabal, Alex",2017-04-04,2017-04-04,The adventures of a swindler in 17th-century Spain.
McTeague,"Norris, Frank",Fiction,Ferdinand von Wright,Portrait of a Young Man,"Duncan, Robert",2020-12-23,2020-12-23,"A San Francisco dentist and his wife descend into avarice, obsession, and violence."
Narrative of the Life of Frederick Douglass,"Douglass, Frederick",Nonfiction,,Frederick Douglass,"Bennett, Mike",2020-08-31,2020-08-31,Frederick Douglass describes his youth as a slave in Maryland and his desire to be a free man.
"Cask, The","Crofts, Freeman Wills",Fiction,Michiel Sweerts,A Painter’s Studio,"Whittleton, Robin",2020-11-23,2020-11-23,A cask dropped during the unloading of a ship sets detectives on the trail of a murderer.
