Title,Author,SE subject,Artist,Painting,Producer,Pub date,Rev date,Description
Hudibras,"Butler, Samuel",Poetry,William Fettes Douglas,Hudibras and Ralph Visiting the Astrologer,"Whittleton, Robin",2021-05-26,2021-05-26,A knight and his squire set forth for adventure and love.
Erewhon,"Butler, Samuel",Fiction,Frederic Edwin Church,View of Cotopaxi,"Whittleton, Robin",2020-08-15,2020-08-15,A traveller ventures to the unknown country of Erewhon and finds a surprisingly different culture.
"Way of All Flesh, The","Butler, Samuel",Fiction,J. M. W. Turner,South View of Salisbury Cathedral from the Cloisters,"Cabal, Alex",2019-12-11,2019-12-11,"Four generations of the Pontifex family grow to adulthood in Victorian England, encountering challenges that satirize the era along the way."
Rasselas,"Johnson, Samuel",Satire,Ludwig Deutsch,Leaving the Mosque,"Cabal, Alex",2016-05-15,2016-05-15,An Abyssinian prince embarks on adventures while exploring the meaning of happiness.
"Diary, The","Pepys, Samuel",Nonfiction,John Hayls,Samuel Pepys,"Whittleton, Robin",2019-08-21,2019-08-21,The diary of a man living in London in the 17th century.
Clarissa Harlowe,"Richardson, Samuel",Fiction,Frederick Leighton,Bianca,"Grigg, David",2021-02-11,2021-02-11,A beautiful and virtuous young lady is entangled in the snares of a handsome but unscrupulous rake.
"Country of the Pointed Firs, The","Jewett, Sarah Orne",Fiction,Albert Bierstadt,"Mount Starr King, Yosemite","Un, Guan",2020-05-31,2020-05-31,A series of sketches of a writer’s life in a small fishing village in Maine.
Brood of the Witch-Queen,"Rohmer, Sax",Horror,Adrien Dauzats,"The Great Pyramid, Giza","Bucyk, Kristopher",2019-09-10,2019-09-10,A father and son duo investigate a man who is wielding ancient Egyptian magic.
"Insidious Dr. Fu-Manchu, The","Rohmer, Sax",Mystery,Alexandre Jacovleff,The General Mas Sou in the History Piece The Retreat of Kiai-Ting,"Cabal, Alex",2016-08-02,2016-08-02,An intrepid detective hunts the criminal mastermind Fu-Manchu through early 20th-century London.
Short Fiction,"Lagerlöf, Selma",Shorts,Carl Larsson,Selma Lagerlöf,"Whittleton, Robin",2021-03-29,2021-03-29,"A collection of Selma Lagerlöf’s translated short stories, ordered by date of publication."
"Story of Gösta Berling, The","Lagerlöf, Selma",Fiction,Hanna Hirsch-Pauli,Friends,"Whittleton, Robin",2018-03-23,2018-03-23,A disgraced priest ends up adventuring with a group of societal outcasts.
"Wonderful Adventures of Nils, The","Lagerlöf, Selma",Fiction,Prince Eugen,Det Gamla Slottet,"Whittleton, Robin",2017-07-01,2017-07-01,"Nils Holgersson, transformed to an elf, learns the meaning of kindness during his adventures with a flock of wild geese."
Dialogues,Seneca,Philosophy,Ferdinand Georg Waldmüller,The Roman Ruins in Schönbrunn,"Cabal, Alex",2016-08-03,2016-08-03,"Seneca’s dialogues and consolations, including “On Benefits,” examine living life through the lens of Stoic philosophy."
"Winesburg, Ohio","Anderson, Sherwood",Shorts,Louis Wiesenberg,"Main Street, Montreal","Cabal, Alex",2021-06-15,2021-06-15,The residents of a small pre-industrial Ohio town lead their lives amidst a backdrop of pervasive loneliness.
Arrowsmith,"Lewis, Sinclair",Fiction,Joaquín Sorolla y Bastida,Research,"Cabal, Alex",2021-01-23,2021-01-23,An aspiring medical doctor struggles to lead the life of an ethical scientist during America’s Roaring Twenties.
Main Street,"Lewis, Sinclair",Satire,Childe Hassam,St. Patrick’s Day,"Cabal, Alex",2020-08-04,2020-08-04,An ambitious young woman chafes against the constraints of small-town America.
Twelve Years a Slave,"Northup, Solomon",Nonfiction,John Simpson,The Captive Slave,"Rice, Vince",2021-04-07,2021-04-07,"The account of a free black man kidnapped in 1841 and sold into slavery, from which it took twelve years to free himself."
,,,,,,,,
Short Fiction,"Weinbaum, Stanley G.",Shorts,Mikalojus Konstantinas Čiurlionis,Night,"Cabal, Alex",2015-05-12,2015-05-12,Six classic science fiction short stories by Stanley Weinbaum.
"Dark Other, The","Weinbaum, Stanley G.",Horror,Mikhail Vrubel,The Demon Seated,"Czaban, Nicholas",2019-10-26,2019-10-26,A young woman seeks the reason behind her lover’s outbursts of cruelty.
"Red Badge of Courage, The","Crane, Stephen",Fiction,Winslow Homer,Rations,"Gerace, John",2019-01-12,2019-01-12,A Union soldier in the American Civil War longs to prove his courage in battle.
Sunshine Sketches of a Little Town,"Leacock, Stephen",Satire,Cyrus Cuneo,Mr. Smith,"Halliday, Dave",2019-06-18,2019-06-18,A humorous account of life in the fictional small town of Mariposa.
,,,,,,,,
"Lives of the Caesars, The",Suetonius,Nonfiction,Lawrence Alma-Tadema,The Triumph of Titus,"Grigg, David",2019-10-25,2019-10-25,The lives of the twelve emperors called Caesar are described in detail by a near-contemporary Roman historian.
"Art of War, The",Sun Tzu,Nonfiction,Anonymous,Portrait of the Imperial Bodyguard Zhanyinbao,"Heybey, Jacob",2020-10-21,2020-10-21,An ancient Chinese classic discussing the art of war.
Poetry,"Eliot, T. S.",Poetry,Pablo Picasso,The Poet,"Updike, Jared",2017-09-20,2017-09-20,"A collection of T. S. Eliot’s poetry, including “The Love Song of J. Alfred Prufrock,” “The Waste Land,” and “The Hollow Men.”"
"American Tragedy, An","Dreiser, Theodore",Fiction,John Frederick Kensett,"Lake George, Free Study","Rice, Vince",2021-06-16,2021-06-16,"A young man in a relationship with a young woman decides he wants someone else, of a higher social class."
Sister Carrie,"Dreiser, Theodore",Fiction,Childe Hassam,New York Street,"Rice, Vince",2021-10-13,2021-10-13,A young woman moves to Chicago to chase her dream of being somebody.
"Imitation of Christ, The","à Kempis, Thomas",Spirituality,El Greco,Christ Carrying the Cross,"Cheng, Weijia",2021-07-08,2021-07-08,Thomas à Kempis provides instructions for a Christian spiritual life.
Bulfinch’s Mythology,"Bulfinch, Thomas",Nonfiction,Herbert James Draper,The Lament for Icarus,"Grigg, David",2019-07-12,2019-07-12,"An American classicist collects and explains myths and legends ranging from those of the ancient Greeks and Romans, through stories of King Arthur, to the legends of Charlemagne."
Sartor Resartus,"Carlyle, Thomas",Satire,John Linnell,Portrait of Thomas Carlyle,"Cabal, Alex",2017-06-13,2017-06-13,The meta-fictional commentary on the life of “famous” German philosopher Diogenes Teufelsdröckh and his Philosophy of Clothes.
Confessions of an English Opium-Eater,"De Quincey, Thomas",Nonfiction,Claude Monet,Champ de Coquelicots: Environs de Giverny,"Cabal, Alex",2014-05-25,2014-05-25,A portrait of the life of a drug addict in Georgian-era London.
Suspiria de Profundis,"De Quincey, Thomas",Shorts,Edmund Dulac,Such Stuff as Dreams Are Made On,"Cabal, Alex",2016-10-27,2016-10-27,A collection of prose poems inspired by De Quincey’s opium dreams.
Far from the Madding Crowd,"Hardy, Thomas",Fiction,Charles-Émile Jacque,Shepherdess with Sheep,"Atkinson, Michael",2019-02-20,2019-02-20,"A young shepherd falls in love with a young, seemingly independent and strong-willed lady farmer."
Jude the Obscure,"Hardy, Thomas",Fiction,J. M. W. Turner,"High Street, Oxford","Bell, Jason",2020-07-22,2020-07-22,"A promising young man’s life is marred by failure, tragedy, and loss."
Tess of the d’Urbervilles,"Hardy, Thomas",Fiction,Francisco José de Goya y Lucientes,The Milkmaid of Bordeaux,"Atkinson, Michael",2019-01-11,2019-01-11,A young woman of poor and uneducated parents is driven by guilt to try to redeem her family’s fortunes.
"Mayor of Casterbridge, The","Hardy, Thomas",Fiction,Asher Brown Durand,Portrait of Luman Reed,"Halliday, Dave",2020-05-20,2020-05-20,"Filled with remorse after abandoning his wife and baby daughter, Michael Henchard, an out-of-work hay-trusser, resolves to set his life on a better path."
"Woodlanders, The","Hardy, Thomas",Fiction,John Constable,The Cornfield,"Whittleton, Robin",2018-06-01,2018-06-01,A young woman struggles with the opposing forces of class and love.
Nightmare Abbey,"Peacock, Thomas Love",Fiction,Pieter van der Willigen,Vanitas Still Life,"Grigg, David",2017-12-20,2017-12-20,A comic parody of the gothic movement in early nineteenth-century British literature.
Le Morte D’Arthur,"Malory, Thomas",Fiction,N. C. Wyeth,"And When They Came to the Sword That the Hand Held, King Arthur Took It Up","Rice, Vince",2020-07-09,2020-07-09,A late Middle Ages version of the story of King Arthur and the Knights of the Round Table.
Bashan and I,"Mann, Thomas",Nonfiction,Jean-Baptiste Oudry,Dog Guarding Dead Game,,2020-09-07,2020-09-07,A renowned novelist describes the unique relation that links him to his dog.
Essays,"Paine, Thomas",Philosophy,Laurent Dabos,Thomas Paine,"Whittleton, Robin",2021-04-22,2021-04-22,"A collection of Thomas Paine’s essays on republicanism, the problems of monarchy, and human rights."
"Age of Reason, The","Paine, Thomas",Philosophy,Caspar David Friedrich,Monastery Graveyard in the Snow,"Cabal, Alex",2021-04-29,2021-04-29,Paine argues against the legitimacy of the Bible and institutional religion.
"American Crisis, The","Paine, Thomas",Philosophy,Childe Hassam,"Allies Day, May 1917","Sweeney, Emma",2021-04-26,2021-04-26,A collection of articles written during the American Revolutionary War that outline Paine’s support for a self-governing America.
"Rights of Man, The","Paine, Thomas",Philosophy,Louis-Léopold Boilly,Portrait du Chanteur Simon Chenard en Costume de Sans-Culotte,"Grigg, David",2021-04-26,2021-04-26,"A philosopher and political activist presents a forceful argument in favor of the principles of the French Revolution and of republicanism in general, together with a condemnation of monarchy and hereditary power in general."
Green Forest Stories,"Burgess, Thornton W. ",Fiction,W. Herbert Dunton,Fall in the Foothills,"Keith, B. Timothy",2020-08-25,2020-08-25,A collection of four animal tales featuring the denizens of the Green Forest.
Green Meadow Stories,"Burgess, Thornton W. ",Fiction,Arthur Fitzwilliam Tait,Rabbits on a Log,"Keith, B. Timothy",2020-08-21,2020-08-21,A compilation of four distinct but entwined animal tales featuring the denizens of the Green Meadows.
"Theory of the Leisure Class, The","Veblen, Thorstein",Philosophy,Eleanor Fortescue-Brickdale,The Deceitfulness of Riches,"Cabal, Alex",2021-06-09,2021-06-09,"Veblen outlines his theory of social stratification in an industrialized society, the paradoxical elevation of the leisure class, and conspicuous consumption."
Our American Cousin,"Taylor, Tom",Drama,Richard Caton Woodville,Self-Portrait with Flowered Wallpaper,"Keith, B. Timothy",2019-02-15,2019-02-15,A rough American from a distant branch of the Trenchard family returns to England and quickly becomes embroiled in the family’s affairs.
,,,,,,,,
Personal Memoirs of Ulysses S. Grant,"Grant, Ulysses S.",Nonfiction,Ole Peter Hansen Balling,General Ulysses S. Grant in the Trenches before Vicksburg,"Grigg, David",2018-07-21,2018-07-21,One of the greatest generals of the United States tells the story of his life and details his key role in winning the Civil War.
"Jungle, The","Sinclair, Upton",Fiction,Alson Skinner Clark,The Coffee House,"Cabal, Alex",2014-05-25,2014-05-25,A working-class Lithuanian immigrant family’s struggle to make a living in the turn-of-the-century Chicago stockyards.
Les Misérables,"Hugo, Victor",Fiction,Jean-Louis Ernest Meissonier,The Defense of Paris,"Atkinson, Michael",2019-08-15,2019-08-15,An escaped convict steals two candlesticks and uses the proceeds to redeem himself and become an honest man.
"Hunchback of Notre Dame, The","Hugo, Victor",Fiction,Jean-François Raffaëlli,Notre Dame Seen from the Quai de la Tournelle,"Rice, Vince",2019-10-01,2019-10-01,"An archdeacon of Notre-Dame and his bellringer fall in love with the same gypsy, with tragic results."
"Aeneid, The",Virgil,Poetry,Anonymous,Aeneas and the Sibyl,"Sweeney, Emma",2021-02-04,2021-02-04,"The legendary hero Aeneas flees the city of Troy with his father and young son, and travels to Italy to become the ancestor of the Romans."
Jacob’s Room,"Woolf, Virginia",Fiction,Vilhelm Hammershøi,Interior with Ida in a White Chair,"Bernarde, Alvaro",2020-11-23,2020-11-23,"The coming-of-age of a young man in pre-war England, told by the impressions of those around him."
Mrs. Dalloway,"Woolf, Virginia",Fiction,Isaac Israëls,Portrait of a Woman,"Keith, B. Timothy",2021-01-25,2021-01-25,"As Clarissa Dalloway walks through London on a glorious June day, her movements bring together a cast of friends and strangers, each in turn weighing matters of mind and heart."
Night and Day,"Woolf, Virginia",Fiction,Nils Kreuger,March Evening,"Peterson, Zoey Leigh",2021-02-12,2021-02-12,Four young acquaintances in Edwardian London grapple with the quandary of love and marriage.
"Voyage Out, The","Woolf, Virginia",Fiction,Frederic Leighton,Lucia,"Whittleton, Robin",2018-11-05,2018-11-05,A sheltered young woman’s travels dramatically expand her horizons.
Short Fiction,"Korolenko, Vladimir",Shorts,Ivan Shishkin,The Forest in Winter,"Whittleton, Robin",2020-07-16,2020-07-16,"A collection of Vladimir Korolenko’s translated short stories and novellas, ordered by date of translated publication."
Candide,Voltaire,Satire,Maurice Quentin de La Tour,"François-Marie Arouet, Called Voltaire","Cabal, Alex",2014-05-25,2014-05-25,A witty satire that tells of the young Candide’s attempts to stay optimistic through a series of incredible hardships.
Short Fiction,"Garshin, Vsevolod",Shorts,Ilya Repin,Vsevolod Mikhailovich Garshin,"Whittleton, Robin",2018-01-16,2018-01-16,A collection of Garshin’s translated short stories and novellas ordered by date of publication.
"Souls of Black Folk, The","Du Bois, W. E. B.",Nonfiction,,Trompe-l’Oeil Still Life with a Flower Garland and a Curtain,"Peterson, Zoey Leigh",2021-09-30,2021-09-30,A seminal collection of essays on the African-American experience.
Of Human Bondage,"Maugham, W. Somerset",Fiction,Konstantin Korovin,Portrait of Fyodor Shalyapin,"Cabal, Alex",2018-03-29,2018-03-29,Maugham’s semi-autobiographical masterpiece follows a club-footed orphan’s rise in the medical profession and his lifelong search for happiness.
On a Chinese Screen,"Maugham, W. Somerset",Travel,Anonymous,Canton Waterfront (The Hongs at Canton),"Wang, Hui-chang",2021-10-18,2021-10-18,A collection of short vignettes about the people and places W. Somerset Maugham encountered during his travels along the Yangtze River in 1919–20.
"Magician, The","Maugham, W. Somerset",Mystery,Charles Mellin,Portrait of a Gentleman,"Bystricky, Lukas",2021-11-30,2021-11-30,A young engaged couple meet a mysterious man who claims to have practical knowledge of the occult.
"Moon and Sixpence, The","Maugham, W. Somerset",Fiction,Frédéric Bazille,Self-Portrait,"Helgaker, Aleksander",2019-06-11,2019-06-11,London stockbroker Charles Strickland abandons his family and travels to Paris to become a painter.
"Lady of the Barge, The","Jacobs, W. W.",Shorts,Camille Pissarro,Barges at Pontoise,"Cabal, Alex",2014-05-25,2014-05-25,An anthology of several of W. W. Jacobs’ most famous short stories.
Ivanhoe,"Scott, Walter",Fiction,Eugène Delacroix,The Abduction of Rebecca,"Williams, Kenneth",2018-04-30,2018-04-30,A disinherited knight returns from the Crusades and fights back against Prince John’s reign.
"Sketch-Book of Geoffrey Crayon, Gent., The","Irving, Washington",Shorts,John Quidor,The Headless Horseman Pursuing Ichabod Crane,"Williams, Kenneth",2018-02-12,2018-02-12,"A collection of 34 essays and short stories, including “The Legend of Sleepy Hollow” and “Rip Van Winkle.”"
,,,,,,,,
Poetry,"Owen, Wilfred",Poetry,Paul Nash,The Ypres Salient at Night,"Whittleton, Robin",2018-05-14,2018-05-14,A collection of Wilfred Owen’s published poems.
Man and Wife,"Collins, Wilkie",Fiction,John Collier,A Confession,"Grigg, David",2019-01-24,2019-01-24,"A young woman who has been made pregnant by an unscrupulous man tries to force him to marry her secretly, but much goes wrong with her plan."
No Name,"Collins, Wilkie",Fiction,Thomas Eakins,Retrospection,"Grigg, David",2017-08-24,2017-08-24,"After two sisters are unexpectedly and shockingly disinherited, the headstrong younger sister takes increasingly desperate measures to try to wrest back her family’s fortune."
"Moonstone, The","Collins, Wilkie",Fiction,Anne-Louis Girodet-Trioson,Study for “Portrait of an Indian”,"Kinross, Jeffrey",2017-12-02,2017-12-02,"When a fabulous gem mysteriously goes missing, suspicion abounds and a hunt begins for the guilty party."
"Woman in White, The","Collins, Wilkie",Fiction,James Abbott McNeill Whistler,"Symphony in White, No. 1: The White Girl","Grigg, David",2017-09-18,2017-09-18,"A young drawing teacher falls in love with his aristocratic pupil, who falls victim to a devious plot to acquire her considerable fortune."
My Ántonia,"Cather, Willa",Fiction,Vincent van Gogh,Enclosed Field with Ploughman,"Jacobs, Mitchell",2019-04-01,2019-04-01,"Orphaned boy Jim meets Ántonia, the daughter of a Czech family who has immigrated to Nebraska."
O Pioneers!,"Cather, Willa",Fiction,Winslow Homer,Song of the Lark,"Reese, Alexander",2021-07-26,2021-07-26,A Swedish-American immigrant family builds a farm and community on the Nebraska prairie.
One of Ours,"Cather, Willa",Fiction,Martin Johnson Heade,Haystacks on the Newburyport Marshes,"Rice, Vince",2021-07-03,2021-07-03,A young man struggles with finding his purpose in life until the breakout of World War I prompts him to volunteer for the Army.
"Song of the Lark, The","Cather, Willa",Fiction,Jules Breton,The Shepherd’s Star,"Wang, Hui-chang",2021-07-31,2021-07-31,A young girl leaves her small-town life in 1890s Colorado to become a highly accomplished singer.
Poetry,"Willams, William Carlos",Poetry,Asher Brown Durand,In the Woods,"Keith, B. Timothy",2019-09-11,2019-09-11,"An anthology of William Carlos Williams’ poetry collections, combining The Tempers (1913), Al Que Quiere! (1917), and Sour Grapes (1921)."
"Way of the World, The","Congreve, William",Drama,Jean-Honoré Fragonard,The Love Letter,"Keith, B. Timothy",2020-08-27,2020-08-27,Two lovers are prevented from marrying due to a previous dalliance.
"Life of Buffalo Bill, The","Cody, William F.",Nonfiction,N. C. Wyeth,"Brigham, the Most Famous Buffalo Horse in the West","Keith, B. Timothy",2021-04-20,2021-04-20,"The 1879 autobiography of William F. Cody, more commonly known as Buffalo Bill, detailing his early life in the American West."
Table-Talk,"Hazlitt, William",Nonfiction,Nicolas Poussin,Blind Orion Searching for the Rising Sun,"Cabal, Alex",2017-03-08,2017-03-08,"A collection of essays on art, literature, philosophy, society, and culture."
"House on the Borderland, The","Hodgson, William Hope",Science Fiction,Georges Braque,The Castle at Roche-Guyon,"Cabal, Alex",2017-01-12,2017-01-12,An account of the terrifying metaphysical haunting of a recluse’s secluded home.
"Night Land, The","Hodgson, William Hope",Science Fiction,Fernand Khnopff,An Angel,"Cabal, Alex",2020-04-14,2020-04-14,"A 17th-century gentleman is reincarnated on a far-future Earth where the sun has died, and scours the hellish landscape for his lost love."
Barry Lyndon,"Thackeray, William Makepeace",Satire,Pompeo Batoni,"Portrait of John Talbot, Later 1st Earl Talbot","Cabal, Alex",2016-03-18,2016-03-18,A poor Irish rogue tries to win fame and fortune in the 18th-century English aristocracy.
Vanity Fair,"Thackeray, William Makepeace",Fiction,James Tissot,A Woman of Ambition,"Cabal, Alex",2017-08-08,2017-08-08,A domestic satire set in England before the backdrop of the Napoleonic Wars.
"Water of the Wondrous Isles, The","Morris, William",Fantasy,Arnold Böcklin,The Island of Life,"Cabal, Alex",2020-04-05,2020-04-05,A beautiful woman escapes a life of servitude under an evil witch to adventure through a series of magical islands.
"Wood Beyond the World, The","Morris, William",Fantasy,Mikalojus Konstantinas Čiurlionis,The Sun Is Passing the Sign of Virgo,"Cabal, Alex",2017-01-13,2017-01-13,"An adventurer comes to an enchanted castle, where he must rescue a fair maiden from the clutches of an enchantress."
"Midsummer Night’s Dream, A","Shakespeare, William",Drama,Joseph Noel Paton,The Quarrel of Oberon and Titania,"Sweeney, Emma",2020-06-26,2020-06-26,This comedy follows four lovers and a thespian who become bewitched by fairies.
All’s Well That Ends Well,"Shakespeare, William",Drama,John White Alexander,The Ring,"Sweeney, Emma",2021-10-18,2021-10-18,A woman tricks her husband into fulfilling his marriage demands.
As You Like It,"Shakespeare, William",Drama,John Collier,In the Forest of Arden,"Smith, Asher",2021-06-08,2021-06-08,"Forced to flee to the Forest of Arden, the daughter of a duke encounters a variety of characters, her banished father, and even finds love."
Edward III,"Shakespeare, William",Drama,Pierre Jean Van der Ouderaa,The King of Thule,"Sweeney, Emma",2021-08-12,2021-08-12,"Edward III declares himself the true heir of France, which launches the Hundred Years’ War."
Hamlet,"Shakespeare, William",Drama,John Everett Millais,Ophelia,"Sweeney, Emma",2021-02-16,2021-02-16,"The ghost of the King of Denmark tells his son, Hamlet, to avenge his death."
"Henry IV, Part I","Shakespeare, William",Drama,Jean-Baptiste Messier,Esquisse pour l’ancien Hôtel de Ville de Paris: Brissac négociant auprès des échevins l’entrée d’Henri IV dans Paris,"Sweeney, Emma",2021-06-29,2021-06-29,King Henry IV faces Welsh and Scottish rebels while English royals plot to betray their own king.
"Henry IV, Part II","Shakespeare, William",Drama,John Gilbert,Sir John Falstaff Reviewing His Ragged Regiment,"Sweeney, Emma",2021-07-05,2021-07-05,The rebel forces plan another assault against King Henry’s forces after losing at the Battle of Shrewsbury.
"Life of Henry the Fifth, The","Shakespeare, William",Drama,John Gilbert,Morning of the Battle of Agincourt,"Keith, B. Timothy",2019-08-16,2019-08-16,Shakespeare’s 1599 play chronicling the history of King Henry the Fifth and his famous victory over the French at the Battle of Agincourt.
"Henry VI, Part I","Shakespeare, William",Drama,Anonymous,King Henry VI,"Sweeney, Emma",2021-01-06,2021-01-06,King Henry VI takes the throne during a time of great political division: the quarreling among English noblemen and the collapse of England’s hold in France.
"Henry VI, Part II","Shakespeare, William",Drama,Édouard Odier,Chevalier conduisant son armée,"Sweeney, Emma",2021-01-08,2021-01-08,King Henry VI marries Margaret of Anjou and further stokes discord within his court.
"Henry VI, Part III","Shakespeare, William",Drama,Charles Robert Leslie,The Murder of Rutland by Lord Clifford,"Sweeney, Emma",2021-01-25,2021-01-25,Henry VI is overthrown and Edward Plantagenet becomes the new King of England.
Henry VIII,"Shakespeare, William",Drama,Emanuel Gottlieb Leutze,The Courtship of Anne Boleyn,"Sweeney, Emma",2021-09-04,2021-09-04,King Henry VIII plans to divorce his first wife for Anne Bullen.
Julius Caesar,"Shakespeare, William",Drama,Peter Paul Rubens,Julius Caesar,"Sweeney, Emma",2020-11-03,2020-11-03,A play portraying the assassination of Julius Caesar.
King John,"Shakespeare, William",Drama,Charles August Buchel,Herbert Beerbohm Tree as King John,"Sweeney, Emma",2021-06-15,2021-06-15,King John is commanded to hand over his throne to Arthur of Bretagne or face war with the French.
King Lear,"Shakespeare, William",Drama,Benjamin West,King Lear,"Grigg, David",2020-11-09,2020-11-09,"An aging king divides his kingdom between his two eldest daughters, slighting the third, and comes to bitterly regret his decision."
Macbeth,"Shakespeare, William",Drama,John Singer Sargent,Ellen Terry as Lady Macbeth,"Sweeney, Emma",2021-05-07,2021-05-07,An ambitious general murders the King of Scotland and takes the throne for himself—and then he must deal with the consequences.
Much Ado About Nothing,"Shakespeare, William",Drama,Artemisia Gentileschi,Esther Before Ahasuerus,"Sweeney, Emma",2020-02-24,2020-02-24,"One couple is tricked into falling in love, and another couple is tricked into falling out of love."
Othello,"Shakespeare, William",Drama,William Mulready,Ira Aldridge in the Role of Shakespeare’s Othello,"Mohan, Vraj",2021-01-23,2021-01-23,Jealousy destroys the marriage between an older black man and a younger white woman in 1500s Venice.
Poetry,"Shakespeare, William",Poetry,John Taylor,The Chandos Portrait of William Shakespeare,"Sweeney, Emma",2020-04-24,2020-04-24,A collection of William Shakespeare’s poems and sonnets.
Richard II,"Shakespeare, William",Drama,John Gilbert,Richard II Resigning the Crown to Bolingbroke,"Sweeney, Emma",2021-06-22,2021-06-22,King Richard II’s wasteful spending habits drive his supporters to revolt.
Richard III,"Shakespeare, William",Drama,Edwin Austin Abbey,"Richard, Duke of Gloucester, and the Lady Anne","Sweeney, Emma",2021-07-15,2021-07-15,"King Edward IV’s brother, Richard of Gloucester, ascends to the English throne through deadly machinations."
Romeo and Juliet,"Shakespeare, William",Drama,Francesco Hayez,The Kiss,"Sweeney, Emma",2020-09-12,2020-09-12,The children of two opposing houses fall in love.
"Comedy of Errors, The","Shakespeare, William",Drama,Anthony van Dyck,"Lord John Stuart and His Brother, Lord Bernard Stuart","Sweeney, Emma",2020-07-27,2020-07-27,Two sets of identical twins are mistaken for their lost siblings.
"Merry Wives of Windsor, The","Shakespeare, William",Drama,Thomas Duncan,Anne Page Inviting Slender to Dinner,"Keith, B. Timothy",2019-08-13,2019-08-13,Sir John Falstaff runs astray of the denizens of Windsor by trying to seduce several local wives at once.
"Tempest, The","Shakespeare, William",Drama,Francis Wheatley,A Scene From Shakespeare’s The Tempest,"Likar, Matic",2020-09-18,2020-09-18,A magic-induced tempest shipwrecks the king of Naples and his crew on an island inhabited by the usurped duke of Milan.
Twelfth Night,"Shakespeare, William",Drama,Johann Heinrich Ramberg,"Olivia, Maria and Malvolio from “Twelfth Night,” Act III, Scene IV","Sweeney, Emma",2021-06-08,2021-06-08,A woman disguises herself as a man and becomes entangled in the courtship of two aristocrats.
Clotel,"Brown, William Wells",Fiction,Simon Maris,Isabella,"Gross, David M.",2020-08-09,2020-08-09,The daughters of U.S. President Thomas Jefferson use their wits to try to escape American slavery.
"Religion of Nature Delineated, The","Wollaston, William",Philosophy,Johannes Vermeer,The Astronomer,"Gross, David M.",2016-12-30,2016-12-30,"Wollaston attempts to derive ethics and religion by using rational thought and observation of the natural world, without resorting to revelation or received religion."
Lyrical Ballads,,Poetry,Caspar David Friedrich,Der Wanderer über dem Nebelmeer,"Cabal, Alex",2014-05-25,2014-05-25,A collection of pastoral poems that is considered the defining text for the beginning of Romantic-era literature.
"Country Wife, The","Wycherley, William",Drama,Pieter de Hooch,The Greeting,"Keith, B. Timothy",2021-08-14,2021-08-14,A notorious womanizer spreads a rumour that he is now a eunuch in order to gain access to other’s wives.
We,"Zamyatin, Yevgeny",Science Fiction,John Covert,The Temptation of St. Anthony,"Whittleton, Robin",2020-06-13,2020-06-13,"A thousand years in the future, the builder of a spaceship discovers his emotions."
